review,rating,date,bank,source,sentiment_label,sentiment_score,processed_text,theme
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,POSITIVE,0.3199999999999999,cbe best financial application dimple use would like say thank much developer application really appreciate app,UI/UX
nice,5,2025-05-26,CBE,Google Play,POSITIVE,0.6,nice,Other
good job,5,2025-05-26,CBE,Google Play,POSITIVE,0.7,good job,Other
it's awesome!!,5,2025-05-25,CBE,Google Play,POSITIVE,1.0,awesome,Other
thankyou every one,5,2025-05-25,CBE,Google Play,NEUTRAL,0.0,thankyou every one,Other
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,NEUTRAL,0.0,ronaldo,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,POSITIVE,0.4666666666666666,app absolutely fantastic love enjoying let u support foundation together,UI/UX
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,NEGATIVE,-0.1405050505050505,cbe app highly unreliable recent week frequently fails work properly ethio telecom safaricom network whether using mobile data week system entirely extended period making difficult access banking service app function intermittently lack consistency frustrating hope issue addressed soon influence removed essential service,UI/UX
mortuary app,5,2025-05-25,CBE,Google Play,NEUTRAL,0.0,mortuary app,UI/UX
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,POSITIVE,0.2142857142857142,smart app stoped period time device reason,UI/UX
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,POSITIVE,0.6000000000000001,amazing app used app one year,UI/UX
👍,5,2025-05-24,CBE,Google Play,NEUTRAL,0.0,,Other
good app,5,2025-05-24,CBE,Google Play,POSITIVE,0.7,good app,UI/UX
i love it 😍😘,5,2025-05-24,CBE,Google Play,POSITIVE,0.5,love,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,NEUTRAL,0.0,make life easy,Other
its not fast,1,2025-05-24,CBE,Google Play,NEUTRAL,-0.1,fast,Other
wow,4,2025-05-24,CBE,Google Play,NEUTRAL,0.1,wow,Other
it is sooo good,5,2025-05-24,CBE,Google Play,POSITIVE,0.7,sooo good,Other
excellent,5,2025-05-24,CBE,Google Play,POSITIVE,1.0,excellent,Other
ok,1,2025-05-24,CBE,Google Play,POSITIVE,0.5,ok,Other
Fantastic,5,2025-05-23,CBE,Google Play,POSITIVE,0.4,fantastic,Other
accessible to using,5,2025-05-23,CBE,Google Play,POSITIVE,0.375,accessible using,Other
I like it,4,2025-05-23,CBE,Google Play,NEUTRAL,0.0,like,Other
why you change default network?,5,2025-05-23,CBE,Google Play,NEUTRAL,0.0,change default network,Other
very nice 👍,5,2025-05-23,CBE,Google Play,POSITIVE,0.78,nice,Other
nice fast app,5,2025-05-23,CBE,Google Play,POSITIVE,0.4,nice fast app,UI/UX
how to I get my money,5,2025-05-23,CBE,Google Play,NEUTRAL,0.0,get money,Transactions
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,NEGATIVE,-0.9099999999999998,bad ca even load need improve service,Customer Support
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,POSITIVE,0.91,good app please make reliable crash sometimes,UI/UX
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,POSITIVE,0.13,busy know prefer,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,NEGATIVE,-0.5,sometimes nasty lag several hour fix rest,UI/UX
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,NEGATIVE,-0.1666666666666666,boring mobil banking application use alternative private bank mobile banking apps,Other
hojii bonsaadha,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0,hojii bonsaadha,Other
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,POSITIVE,0.4333333333333333,app easy,UI/UX
Awosome!!!,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0,awosome,Other
"Very good app,",5,2025-05-22,CBE,Google Play,POSITIVE,0.91,good app,UI/UX
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0,sync problem may date stack may help pls,Customer Support
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,POSITIVE,0.78,ይህ መተግበሪያ በጣም ጥሩ ነው app nice,UI/UX
I hate this app 😒,1,2025-05-22,CBE,Google Play,NEGATIVE,-0.8,hate app,UI/UX
trustful,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0,trustful,Other
I like,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0,like,Other
update issue,4,2025-05-22,CBE,Google Play,NEUTRAL,0.0,update issue,UI/UX
its not working over safari network,1,2025-05-22,CBE,Google Play,NEUTRAL,0.0,working safari network,Other
oldie,1,2025-05-22,CBE,Google Play,NEUTRAL,0.0,oldie,Other
it doesn't work,1,2025-05-21,CBE,Google Play,NEUTRAL,0.0,work,Other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,POSITIVE,0.7,app good using well,UI/UX
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,POSITIVE,0.78,nice app android phone,UI/UX
Yes Yes,5,2025-05-21,CBE,Google Play,NEUTRAL,0.0,yes yes,Other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,NEUTRAL,0.0,በጣም ከርፋፋ,Other
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,POSITIVE,0.4333333333333333,easy use helpful life,Other
good 👍,4,2025-05-21,CBE,Google Play,POSITIVE,0.7,good,Other
the best mobile banking app,5,2025-05-21,CBE,Google Play,POSITIVE,1.0,best mobile banking app,UI/UX
