review,rating,date,bank,source,sentiment_label,sentiment_score
it is sooo good,5,2025-05-24,CBE,Google Play,POSITIVE,0.7
excellent,5,2025-05-24,CBE,Google Play,POSITIVE,1.0
ok,1,2025-05-24,CBE,Google Play,POSITIVE,0.5
Fantastic,5,2025-05-23,CBE,Google Play,POSITIVE,0.4
accessible to using,5,2025-05-23,CBE,Google Play,POSITIVE,0.375
I like it,4,2025-05-23,CBE,Google Play,NEUTRAL,0.0
why you change default network?,5,2025-05-23,CBE,Google Play,NEUTRAL,0.0
very nice 👍,5,2025-05-23,CBE,Google Play,POSITIVE,0.78
nice fast app,5,2025-05-23,CBE,Google Play,POSITIVE,0.4
how to I get my money,5,2025-05-23,CBE,Google Play,NEUTRAL,0.0
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,NEGATIVE,-0.9099999999999998
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,POSITIVE,0.9099999999999999
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,POSITIVE,0.13
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,NEGATIVE,-0.5
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,NEGATIVE,-0.16666666666666666
hojii bonsaadha,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,POSITIVE,0.43333333333333335
Awosome!!!,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0
"Very good app,",5,2025-05-22,CBE,Google Play,POSITIVE,0.9099999999999999
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,POSITIVE,0.78
I hate this app 😒,1,2025-05-22,CBE,Google Play,NEGATIVE,-0.8
trustful,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0
I like,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0
update issue,4,2025-05-22,CBE,Google Play,NEUTRAL,0.0
its not working over safari network,1,2025-05-22,CBE,Google Play,NEUTRAL,0.0
oldie,1,2025-05-22,CBE,Google Play,NEUTRAL,0.0
it doesn't work,1,2025-05-21,CBE,Google Play,NEUTRAL,0.0
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,POSITIVE,0.7
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,POSITIVE,0.78
Yes Yes,5,2025-05-21,CBE,Google Play,NEUTRAL,0.0
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,NEUTRAL,0.0
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,POSITIVE,0.43333333333333335
good 👍,4,2025-05-21,CBE,Google Play,POSITIVE,0.7
the best mobile banking app,5,2025-05-21,CBE,Google Play,POSITIVE,1.0
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,POSITIVE,0.395
it's a good application 👍,5,2025-05-21,CBE,Google Play,POSITIVE,0.7
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,NEGATIVE,-1.0
poor service,1,2025-05-21,CBE,Google Play,NEGATIVE,-0.4
amazing,5,2025-05-20,CBE,Google Play,POSITIVE,0.6000000000000001
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,POSITIVE,0.43333333333333335
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,NEGATIVE,-0.15000000000000002
Cbe mobile banking,5,2025-05-20,CBE,Google Play,NEUTRAL,0.0
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,NEUTRAL,0.0
Best app I loved it,5,2025-05-19,CBE,Google Play,POSITIVE,0.85
nice app,5,2025-05-19,CBE,Google Play,POSITIVE,0.6
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,POSITIVE,0.7500000000000001
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,POSITIVE,0.675
very good,4,2025-05-17,CBE,Google Play,POSITIVE,0.9099999999999999
best app.,5,2025-05-17,CBE,Google Play,POSITIVE,1.0
"not working,why???",5,2025-05-17,CBE,Google Play,NEUTRAL,0.0
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,POSITIVE,0.8
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,NEUTRAL,-0.08333333333333333
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,NEUTRAL,0.0
"Good ,easy to use",5,2025-05-16,CBE,Google Play,POSITIVE,0.5666666666666667
Good app,5,2025-05-15,CBE,Google Play,POSITIVE,0.7
Good job👍,5,2025-05-14,CBE,Google Play,POSITIVE,0.7
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,POSITIVE,0.27499999999999997
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,POSITIVE,0.4
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,NEUTRAL,5.551115123125783e-17
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,POSITIVE,0.6000000000000001
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,POSITIVE,0.2111111111111111
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,NEUTRAL,0.0
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,NEUTRAL,0.0
it's easy and fast,5,2025-05-10,CBE,Google Play,POSITIVE,0.31666666666666665
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,NEGATIVE,-0.3
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,POSITIVE,0.30000000000000004
wow best application ever,5,2025-05-09,CBE,Google Play,POSITIVE,0.55
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,NEGATIVE,-0.26666666666666666
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,NEUTRAL,0.0
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,NEUTRAL,0.0
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,POSITIVE,0.375
amazing apps,5,2025-05-06,CBE,Google Play,POSITIVE,0.6000000000000001
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,NEUTRAL,0.0
needs improvement,1,2025-05-06,CBE,Google Play,NEUTRAL,0.0
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,NEUTRAL,-0.012499999999999997
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,POSITIVE,0.42976190476190484
good but these week not oky,4,2025-05-06,CBE,Google Play,POSITIVE,0.7
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,POSITIVE,1.0
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,POSITIVE,0.39999999999999997
